,Unnamed: 0,name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,trait_1_rarity,trait_3_rarity,trait_4_rarity,Eyewear_rarity,trait_0_rarity,trait_5_rarity,trait_2_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n,mint,pred_SOL
5772,5772,Okay Bear #3394,Cream,,Defeated,,Coral,Mumford Hat,Okay,13.26,19.65,5.26,66.72,0.72,1.7500000000000002,23.05,5773,2.655763118473047e-08,0.72,18.63,5,HZR15SzteYe5D5wV6YhftKdiUDnpPh5dWFqR8W78k9Md,286.83453
464,464,Okay Bear #9241,Cream,Winter Scarf,Wide Eyed,,Robot,Classic Cap,Wry,13.26,0.6,2.6,66.72,0.52,3.37,9.22,465,2.22991508577577e-10,0.52,13.755714285714285,6,73JsX2j89AKx7cH4qRajZ4CMrTYgDZggWFKQwkUoVmzq,286.3628
5399,5399,Okay Bear #3976,Blue,Golf Polo,Okay,,Coral,Pencil,Okay,12.52,2.0,20.23,66.72,0.72,3.790000000000001,23.05,5400,2.1258317106790045e-08,0.72,18.43285714285714,6,5GUJJZcN4E3FGqngFSpkkWWYWeZ1z2WfKMJJHXNhSw9z,285.99295
5,5,Okay Bear #1874,White,Tweed Suit,Sad,Holographic,Blueprint,Surf Bucket Hat,Huh,12.65,0.88,5.07,1.71,1.58,1.3299999999999998,3.44,6,6.976609867491265e-12,0.88,3.8085714285714287,7,9MoQhVeFRgCL7DkDGHXAm3potGbe4qg7GuRNNz9Be7EW,284.29654
411,411,Okay Bear #7826,Grey,Tweed Suit,Annoyed,Round Glasses,Robot,,Raspberry,12.61,0.88,13.089999999999998,3.74,0.52,26.98,2.53,412,1.9283009606946526e-10,0.52,8.62142857142857,6,EV7Q2DGAyuQfQcyLa2RGUo32KqymrdPMSnu542fyoBq8,284.2227
687,687,Okay Bear #7513,Green,Pullover Windbreaker,Interested,Snow Goggles,Robot,,Pouting,12.6,2.04,6.710000000000001,1.21,0.52,26.98,12.31,688,3.604225416536385e-10,0.52,8.91,6,71uM6h9uyyLsatnYSFtP3gtuS8TLAPuEEWd9gFjv6Vg5,284.20578
44,44,Okay Bear #8158,Blue,Denim Jacket,Interested,,Robot,Sticky Note,Earphones,12.52,0.91,6.710000000000001,66.72,0.52,2.3,0.49,45,2.9891763580014344e-11,0.49,12.881428571428573,6,Gz5MgxPPfKRDi1gJbhWeLGAGEZQG3dieHVvgbtbr3Hyh,283.8393
4092,4092,Okay Bear #313,Warm Grey,Torn Sleeveless Tee,Annoyed,,Coral,Black Bucket Hat,Wry,12.27,3.15,13.089999999999998,66.72,0.72,4.12,9.22,4093,9.232332438807701e-09,0.72,15.612857142857145,6,4n7kryKc5UY9iUpmB9qwMAxJUJdFaua3n1ViM6g7QXgc,282.61917
5384,5384,Okay Bear #2324,White,,Spirited,,Coral,Sticky Note,Pouting,12.65,19.65,6.2,66.72,0.72,2.3,12.31,5385,2.0961347254144708e-08,0.72,17.22142857142857,5,EG5Cb7QUenJnmfGgrLbcC9XRDAvqhydjRJbdrSWf3PhE,282.34317
543,543,Okay Bear #111,Grey,Vintage Shirt,Defeated,Wayfarer Sunglasses,Robot,Worn Out Cap,Okay,12.61,2.75,5.26,4.38,0.52,2.79,23.05,544,2.6716902877587773e-10,0.52,7.337142857142856,7,F7xA5AfwXvyspaWR8F2dmz4rQzCzcbFqQVkeHX2jwsB5,282.23978
595,595,Okay Bear #9087,White,,Defeated,Holographic,Robot,,Worried,12.65,19.65,5.26,1.71,0.52,26.98,0.95,596,2.979914675611302e-10,0.52,9.674285714285713,5,CRgC57PyBi6GzEASAHSu9LYcMjp6fsZfodDVurHAFb1H,281.7756
96,96,Okay Bear #5985,Grey,Loose Overalls,Okay,Pixel Glasses,Coral,Surf Bucket Hat,Ohh,12.61,2.68,20.23,3.2,0.72,1.3299999999999998,2.43,97,5.09080137442007e-11,0.72,6.171428571428572,7,H4GiJ5t7HH6kkUCcdrNWB5iBUJfoDFYCMSh9oPoofA58,281.3961
518,518,Okay Bear #7068,White,Wool Overcoat,Okay,,Coral,Mumford Hat,Yum,12.65,1.2,20.23,66.72,0.72,1.7500000000000002,0.98,519,2.5299987859238405e-10,0.72,14.892857142857144,6,9Wpo3kN1HQzat2312zCerkY2kaEsqVPJqLz2Mycgktey,281.16513
5576,5576,Okay Bear #2180,Blue,,Annoyed,,Coral,Beret,Proud,12.52,19.65,13.089999999999998,66.72,0.72,2.92,5.28,5577,2.3851288094130787e-08,0.72,17.271428571428572,5,8nxxKqBvrd49MGUyNQXK27GGV8jvs6CpAJSHsoZdJTce,279.99036
7666,7666,Okay Bear #8900,Grey,,Okay,Wayfarer Sunglasses,Coral,,Okay,12.61,19.65,20.23,4.38,0.72,26.98,23.05,7667,9.830893833257377e-08,0.72,15.374285714285715,5,i3Qdb1vGY26nuCA16ogH2AUG9AFjFVyqj7ya4S6YfsD,279.72952
350,350,Okay Bear #8849,Cream,Black Tee,Wide Eyed,VR Headset,Robot,,Wry,13.26,3.83,2.6,0.92,0.52,26.98,9.22,351,1.5713744354853042e-10,0.52,8.19,6,9Dbp42ucse18v9JUAjsFYNc3pAYdZKAykWoAwg7qLsfz,279.14728
1792,1792,Okay Bear #3380,Grey,Torn Sleeveless Tee,Spirited,,Robot,Head Cam,Pouting,12.61,3.15,6.2,66.72,0.52,1.46,12.31,1793,1.5356336489136115e-09,0.52,14.71,6,9fz5nANVyFg88goyLWUh4TPognx6gXxhcVtvBeLJJTji,279.04266
