,name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,Background_rarity,Clothes_rarity,Eyes_rarity,Eyewear_rarity,Fur_rarity,Hat_rarity,Mouth_rarity,rarity_rank,overall_rarity,min_rarity,mean_rarity,trait_n
21,Okay Bear #5971,Yellow,Black Suit,Tired,Flying Goggles,Tan,Skate Cap,Honey,12.22,0.37,4.54,1.83,14.13,5.510000000000001,0.54,22,1.5793100283777435e-11,0.37,5.591428571428572,7
22,Okay Bear #8798,Blue,Black Tee,Golden Glow,Flying Goggles,Lofi,Baker Boy Hat,Wheat,12.520000000000001,3.83,1.9900000000000002,1.83,1.96,2.1399999999999997,2.17,23,1.589413317283499e-11,1.83,3.777142857142857,7
23,Okay Bear #9336,Purple,Wool Overcoat,Interested,Barrel Sunglasses,Sand,Book,Ahh,11.87,1.2,6.710000000000001,2.11,8.18,0.86,1.13,24,1.6031240848279535e-11,0.86,4.579999999999999,7
24,Okay Bear #2698,Blue,Silk Robe,Sad,Round Glasses,Andean,Visor,Drool,12.520000000000001,0.6,5.07,3.74,3.7699999999999996,3.09,0.97,25,1.6095582731335538e-11,0.6,4.251428571428572,7
25,Okay Bear #655,Yellow,Formal Vest,Happy,Punk Sunglasses,Polar,Chullo,Pencil,12.22,1.5699999999999998,7.88,2.69,6.41,0.7799999999999999,0.8099999999999999,26,1.646974999928737e-11,0.7799999999999999,4.622857142857143,7
26,Okay Bear #1616,Green,Puffer Jacket,Annoyed,Mechanical Goggles,Andean,Army Hat,Bubble Gum,12.6,2.27,13.089999999999998,0.51,3.7699999999999996,2.39,1.01,27,1.737668185848995e-11,0.51,5.091428571428572,7
27,Okay Bear #9023,White,Formal Vest,Closed,Clear Glasses,Ginger,Pom Pom Beanie,Earphones,12.65,1.5699999999999998,3.1,4.07,6.0600000000000005,2.56,0.49,28,1.904824421601024e-11,0.49,4.357142857142857,7
28,Okay Bear #5732,Warm Grey,Autumn Sweater,Disappointed,Flying Goggles,Sun,Sticky Note,Worried,12.27,1.7500000000000002,9.4,1.83,2.59,2.3,0.95,29,2.0903199242467503e-11,0.95,4.441428571428571,7
29,Okay Bear #7281,Purple,Legacy Windbreaker,Defeated,Aviator Sunglasses,Lofi,Pencil,Drool,11.87,1.15,5.26,4.09,1.96,3.7900000000000005,0.97,30,2.1160436740028518e-11,0.97,4.155714285714285,7
30,Okay Bear #2383,Cream,Olive Windbreaker,Spirited,Pixel Glasses,Andean,Book,Drool,13.26,2.56,6.2,3.2,3.7699999999999996,0.86,0.97,31,2.118052364353536e-11,0.86,4.402857142857143,7
31,Okay Bear #6229,Purple,Tech Jacket,Sarcastic,Flying Goggles,Polar,Earrings,Gaiter,11.87,1.04,9.65,1.83,6.41,2.6599999999999997,0.5700000000000001,32,2.1187366697630956e-11,0.5700000000000001,4.861428571428571,7
32,Okay Bear #9426,Blue,Tech Jacket,Happy,Clear Glasses,Panda,Pom Pom Beanie,Honey,12.520000000000001,1.04,7.88,4.07,3.9,2.56,0.54,33,2.2514205563486205e-11,0.54,4.644285714285714,7
33,Okay Bear #8958,White,Urban Hoodie,Sarcastic,Circle Sunglasses,Albino,Flat Cap,Grimace,12.65,1.2,9.65,2.82,4.5600000000000005,1.22,0.9900000000000001,34,2.2751396603971198e-11,0.9900000000000001,4.727142857142858,7
34,Okay Bear #6203,Yellow,Vintage Shirt,Golden Glow,Round Glasses,Tan,Surf Bucket Hat,Earphones,12.22,2.75,1.9900000000000002,3.74,14.13,1.3299999999999998,0.49,35,2.3031300467505335e-11,0.49,5.235714285714286,7
35,Okay Bear #1221,Green,Travel Coat,Spirited,Round Glasses,Pink,Ear Tag,Yum,12.6,1.01,6.2,3.74,4.26,1.91,0.98,36,2.3530125993675836e-11,0.98,4.385714285714286,7
36,Okay Bear #5579,Blue,Hoodie with Headphones,Happy,Mechanical Goggles,Sun,Skate Cap,Ugh,12.520000000000001,2.27,7.88,0.51,2.59,5.510000000000001,1.51,37,2.461245243690788e-11,0.51,4.684285714285714,7
37,Okay Bear #5753,Blue,Okay Tee,Golden Glow,Round Glasses,Ginger,Mumford Hat,Worried,12.520000000000001,2.73,1.9900000000000002,3.74,6.0600000000000005,1.7500000000000002,0.95,38,2.5628661951492607e-11,0.95,4.248571428571429,7
38,Okay Bear #679,Warm Grey,Vintage Windbreaker,Disappointed,Circle Sunglasses,Lofi,Baker Boy Hat,Yum,12.27,1.9300000000000002,9.4,2.82,1.96,2.1399999999999997,0.98,39,2.5803270432305854e-11,0.98,4.5,7
39,Okay Bear #3932,Warm Grey,Urban Hoodie,Okay,Barrel Sunglasses,Lofi,Chullo,Oou,12.27,1.2,20.23,2.11,1.96,0.7799999999999999,2.71,40,2.603898861800746e-11,0.7799999999999999,5.894285714285715,7
40,Okay Bear #3736,Warm Grey,Black Tee,Golden Glow,Flying Goggles,Ginger,Rabbit Fur Hat,Hmm,12.27,3.83,1.9900000000000002,1.83,6.0600000000000005,0.8500000000000001,3.02,41,2.6622325904856e-11,0.8500000000000001,4.264285714285714,7
41,Okay Bear #1879,Yellow,Scarf,Defeated,Circle Sunglasses,Panda,Surf Bucket Hat,Haa,12.22,1.3,5.26,2.82,3.9,1.3299999999999998,2.1999999999999997,42,2.6889847517332794e-11,1.3,4.147142857142858,7
42,Okay Bear #3927,Green,Suede Jacket,Disappointed,Punk Sunglasses,Coral,Chullo,Clean Smile,12.6,2.02,9.4,2.69,0.72,0.7799999999999999,7.969999999999999,43,2.8806299296669436e-11,0.72,5.168571428571428,7
43,Okay Bear #9071,Cream,Striped Tee,Defeated,Flying Goggles,Green,Rubik's Cube,Huh,13.26,3.5700000000000003,5.26,1.83,4.5600000000000005,0.41000000000000003,3.44,44,2.930594404247678e-11,0.41000000000000003,4.618571428571428,7
44,Okay Bear #8158,Blue,Denim Jacket,Interested,,Robot,Sticky Note,Earphones,12.520000000000001,0.91,6.710000000000001,66.72,0.52,2.3,0.49,45,2.9891763580014344e-11,0.49,12.881428571428572,6
45,Okay Bear #2594,Yellow,Insulated Jacket,Defeated,Aviator Sunglasses,Andean,Black Bucket Hat,Earphones,12.22,1.55,5.26,4.09,3.7699999999999996,4.12,0.49,46,3.1013201616650336e-11,0.49,4.5,7
46,Okay Bear #4153,Green,Sling Pack,Annoyed,Holographic,Albino,Sticky Note,Yoyo,12.6,2.1999999999999997,13.089999999999998,1.71,4.5600000000000005,2.3,0.48,47,3.123653833681919e-11,0.48,5.277142857142857,7
47,Okay Bear #1469,Yellow,Overalls,Golden Glow,,Sun,Baker Boy Hat,Cassette,12.22,1.39,1.9900000000000002,66.72,2.59,2.1399999999999997,0.25,48,3.1249902472894565e-11,0.25,12.471428571428572,6
48,Okay Bear #2875,Purple,Torn Sleeveless Tee,Spirited,Mechanical Goggles,Green,Army Hat,Ohh,11.87,3.15,6.2,0.51,4.5600000000000005,2.39,2.4299999999999997,49,3.131065519184233e-11,0.51,4.444285714285714,7
49,Okay Bear #3810,Purple,Olive Windbreaker,Defeated,Round Glasses,Ginger,Book,Bubble Gum,11.87,2.56,5.26,3.74,6.0600000000000005,0.86,1.01,50,3.146592330746389e-11,0.86,4.4799999999999995,7
50,Okay Bear #3756,Grey,Black Suit,Interested,Circle Sunglasses,Dark Brown,Sweatband,Pencil,12.61,0.37,6.710000000000001,2.82,12.68,3.52,0.8099999999999999,51,3.191797829273265e-11,0.37,5.645714285714285,7
51,Okay Bear #8232,Blue,Striped Tee,Defeated,Mechanical Goggles,Sand,Runner Cap,Drool,12.520000000000001,3.5700000000000003,5.26,0.51,8.18,3.39,0.97,52,3.225174381244137e-11,0.51,4.9142857142857155,7
52,Okay Bear #7788,White,Black Suit,Interested,,Robot,Pom Pom Beanie,Toothpick,12.65,0.37,6.710000000000001,66.72,0.52,2.56,1.16,53,3.2357287338934273e-11,0.37,12.95571428571429,6
53,Okay Bear #1756,Purple,Utility Vest,Wide Eyed,Circle Sunglasses,Black,Pom Pom Beanie,Ugh,11.87,1.97,2.6,2.82,4.95,2.56,1.51,54,3.280662186886655e-11,1.51,4.04,7
54,Okay Bear #8175,Blue,Hawaiian Shirt,Tired,Holographic,Polar,Visor,Drool,12.520000000000001,1.78,4.54,1.71,6.41,3.09,0.97,55,3.3240269608272194e-11,0.97,4.4314285714285715,7
55,Okay Bear #5925,Green,Silk Robe,Annoyed,Circle Sunglasses,Polar,Book,Wheat,12.6,0.6,13.089999999999998,2.82,6.41,0.86,2.17,56,3.338310780904177e-11,0.6,5.507142857142857,7
56,Okay Bear #2613,White,Torn Sleeveless Tee,Closed,Snow Goggles,Coral,,Toothpick,12.65,3.15,3.1,1.21,0.72,26.979999999999997,1.16,57,3.3680658540513596e-11,0.72,6.9957142857142856,6
57,Okay Bear #4699,Cream,Urban Hoodie,Defeated,Round Glasses,Sun,Bandana,Yum,13.26,1.2,5.26,3.74,2.59,4.24,0.98,58,3.368789019474278e-11,0.98,4.467142857142856,7
58,Okay Bear #9520,Cream,Insulated Jacket,Tired,Aviator Sunglasses,Ginger,Pom Pom Beanie,Gaiter,13.26,1.55,4.54,4.09,6.0600000000000005,2.56,0.5700000000000001,59,3.374751726951322e-11,0.5700000000000001,4.661428571428572,7
59,Okay Bear #1124,Purple,Insulated Jacket,White Glow,Clear Glasses,Green,Okay Beanie,Drool,11.87,1.55,3.4099999999999997,4.07,4.5600000000000005,3.01,0.97,60,3.399650547262292e-11,0.97,4.2057142857142855,7
60,Okay Bear #1331,Purple,Urban Hoodie,Tired,Pixel Glasses,Sun,Backwards Flat Cap,Sneer,11.87,1.2,4.54,3.2,2.59,3.0300000000000002,2.11,61,3.4265939523863036e-11,1.2,4.077142857142857,7
61,Okay Bear #6004,Purple,Loose Overalls,Interested,Round Glasses,Wood,Backwards Skate Cap,Bubble Gum,11.87,2.68,6.710000000000001,3.74,2.01,2.12,1.01,62,3.435839968791152e-11,1.01,4.305714285714286,7
62,Okay Bear #2769,Yellow,Tweed Suit,Defeated,Round Glasses,Black,Flat Cap,Oou,12.22,0.88,5.26,3.74,4.95,1.22,2.71,63,3.4621473281668424e-11,0.88,4.425714285714286,7
63,Okay Bear #8636,Green,Summer Shirt,White Glow,Circle Sunglasses,Green,Beret,Worried,12.6,2.29,3.4099999999999997,2.82,4.5600000000000005,2.92,0.95,64,3.509787429352512e-11,0.95,4.221428571428571,7
64,Okay Bear #3730,Blue,Black Tee,Sad,Wayfarer Sunglasses,Green,Flat Hat,Cassette,12.520000000000001,3.83,5.07,4.38,4.5600000000000005,2.9000000000000004,0.25,65,3.520367653851361e-11,0.25,4.787142857142858,7
65,Okay Bear #6828,Cream,Legacy Windbreaker,Tired,Circle Sunglasses,Tan,Earrings,Earphones,13.26,1.15,4.54,2.82,14.13,2.6599999999999997,0.49,66,3.595557216388082e-11,0.49,5.578571428571428,7
66,Okay Bear #2491,Purple,Cord Tracksuit,Interested,Barrel Sunglasses,Grizzly,Sticky Note,Yoyo,11.87,1.39,6.710000000000001,2.11,14.399999999999999,2.3,0.48,67,3.713659318372608e-11,0.48,5.6085714285714285,7
67,Okay Bear #3994,Green,Formal Vest,Interested,Wayfarer Sunglasses,Green,Worn Out Beanie,Honey,12.6,1.5699999999999998,6.710000000000001,4.38,4.5600000000000005,2.6,0.54,68,3.7221920624528644e-11,0.54,4.708571428571429,7
68,Okay Bear #4591,White,Sling Pack,Wide Eyed,Round Glasses,Albino,Pencil,Pencil,12.65,2.1999999999999997,2.6,3.74,4.5600000000000005,3.7900000000000005,0.8099999999999999,69,3.7883249826364803e-11,0.8099999999999999,4.335714285714286,7
69,Okay Bear #3888,Grey,Tweed Suit,Tired,,Red Panda,Book,Earphones,12.61,0.88,4.54,66.72,2.76,0.86,0.49,70,3.9094283908257174e-11,0.49,12.694285714285714,6
70,Okay Bear #2226,Purple,Fur Coat,Annoyed,Aviator Sunglasses,Tan,Army Hat,Yoyo,11.87,0.38,13.089999999999998,4.09,14.13,2.39,0.48,71,3.914520486777553e-11,0.38,6.632857142857143,7
71,Okay Bear #9737,Blue,Utility Vest,Interested,Pixel Glasses,Ginger,Pom Pom Beanie,Yoyo,12.520000000000001,1.97,6.710000000000001,3.2,6.0600000000000005,2.56,0.48,72,3.9436365258031105e-11,0.48,4.7857142857142865,7
72,Okay Bear #7949,Purple,Black Suit,Annoyed,Wayfarer Sunglasses,Dark Brown,Pom Pom Beanie,Earphones,11.87,0.37,13.089999999999998,4.38,12.68,2.56,0.49,73,4.005175021156699e-11,0.37,6.491428571428571,7
73,Okay Bear #2525,Purple,Black Suit,Sarcastic,Barrel Sunglasses,Black,Classic Cap,Oou,11.87,0.37,9.65,2.11,4.95,3.37,2.71,74,4.042654274857251e-11,0.37,5.0042857142857144,7
74,Okay Bear #1752,White,Polo with Headphones,Sarcastic,Circle Sunglasses,Panda,Sticky Note,Forced Smile,12.65,1.1400000000000001,9.65,2.82,3.9,2.3,1.16,75,4.083402880299599e-11,1.1400000000000001,4.8028571428571425,7
75,Okay Bear #6030,White,Vintage Shirt,Tired,Holographic,Andean,Bandana,Worried,12.65,2.75,4.54,1.71,3.7699999999999996,4.24,0.95,76,4.1011532176328994e-11,0.95,4.372857142857143,7
76,Okay Bear #4487,White,Travel Coat,Sad,Mechanical Goggles,Grizzly,Worn Out Beanie,Huh,12.65,1.01,5.07,0.51,14.399999999999999,2.6,3.44,77,4.2548506195852796e-11,0.51,5.66857142857143,7
77,Okay Bear #5187,Cream,Formal Vest,Sad,Round Glasses,Andean,Backwards Flat Cap,Worried,13.26,1.5699999999999998,5.07,3.74,3.7699999999999996,3.0300000000000002,0.95,78,4.283811200455559e-11,0.95,4.484285714285714,7
78,Okay Bear #4685,Warm Grey,Wool Overcoat,Sarcastic,Punk Sunglasses,Ginger,Rabbit Fur Hat,Haa,12.27,1.2,9.65,2.69,6.0600000000000005,0.8500000000000001,2.1999999999999997,79,4.3313136373188e-11,0.8500000000000001,4.988571428571428,7
79,Okay Bear #7005,Warm Grey,Travel Coat,Okay,Mechanical Goggles,Ginger,Earrings,Sneer,12.27,1.01,20.23,0.51,6.0600000000000005,2.6599999999999997,2.11,80,4.348792754461041e-11,0.51,6.407142857142857,7
80,Okay Bear #5855,Purple,Hawaiian Shirt,Wide Eyed,Aviator Sunglasses,Pink,Backwards Skate Cap,Wheat,11.87,1.78,2.6,4.09,4.26,2.12,2.17,81,4.403242166241609e-11,1.78,4.127142857142857,7
81,Okay Bear #4426,Warm Grey,Hoodie with Headphones,Happy,Holographic,Green,Flat Cap,Sneer,12.27,2.27,7.88,1.71,4.5600000000000005,1.22,2.11,82,4.4055473816413963e-11,1.22,4.574285714285714,7
82,Okay Bear #22,Warm Grey,Woven Sweater,Closed,Wayfarer Sunglasses,Sand,Beret,Honey,12.27,2.08,3.1,4.38,8.18,2.92,0.54,83,4.469651032582195e-11,0.54,4.781428571428571,7
83,Okay Bear #3178,Green,Coat with Headphones,Sarcastic,Circle Sunglasses,Tan,Ear Tag,Honey,12.6,0.8999999999999999,9.65,2.82,14.13,1.91,0.54,84,4.49737151773644e-11,0.54,6.078571428571429,7
84,Okay Bear #5026,White,Sleeveless Tee,White Glow,Wayfarer Sunglasses,Lofi,Pencil,Ahh,12.65,2.86,3.4099999999999997,4.38,1.96,3.7900000000000005,1.13,85,4.535850928363154e-11,1.13,4.311428571428571,7
85,Okay Bear #9940,Green,Faded Denim Jacket,Disappointed,Barrel Sunglasses,Polar,Head Cam,Bubble Gum,12.6,1.9300000000000002,9.4,2.11,6.41,1.46,1.01,86,4.5590087119414326e-11,1.01,4.988571428571428,7
86,Okay Bear #1051,Cream,Winter Scarf,White Glow,Aviator Sunglasses,Ginger,Book,Clean Smile,13.26,0.6,3.4099999999999997,4.09,6.0600000000000005,0.86,7.969999999999999,87,4.608948530524853e-11,0.6,5.178571428571429,7
87,Okay Bear #7566,Grey,Suede Jacket,Wide Eyed,Round Glasses,Ginger,Visor,Bubble Gum,12.61,2.02,2.6,3.74,6.0600000000000005,3.09,1.01,88,4.6845069063476117e-11,1.01,4.447142857142857,7
88,Okay Bear #8552,Purple,Okay Hoodie,Spirited,Punk Sunglasses,Polar,Baker Boy Hat,Toothpick,11.87,1.5,6.2,2.69,6.41,2.1399999999999997,1.16,89,4.7251515216093594e-11,1.16,4.567142857142857,7
89,Okay Bear #5667,Blue,,White Glow,Holographic,Red Panda,Flat Cap,Yum,12.520000000000001,19.650000000000002,3.4099999999999997,1.71,2.76,1.22,0.98,90,4.733826771339389e-11,0.98,6.035714285714286,6
90,Okay Bear #366,Warm Grey,Autumn Sweater,Sarcastic,Mechanical Goggles,Green,Bandana,Beaming Smile,12.27,1.7500000000000002,9.65,0.51,4.5600000000000005,4.24,2.33,91,4.760655125168881e-11,0.51,5.0442857142857145,7
91,Okay Bear #5697,Blue,Olive Windbreaker,Tired,Barrel Sunglasses,Andean,Bandana,Yum,12.520000000000001,2.56,4.54,2.11,3.7699999999999996,4.24,0.98,92,4.809676701862789e-11,0.98,4.388571428571429,7
92,Okay Bear #9505,Blue,Insulated Jacket,Disappointed,Clear Glasses,Black,Sticky Note,Gaiter,12.520000000000001,1.55,9.4,4.07,4.95,2.3,0.5700000000000001,93,4.8179931754086e-11,0.5700000000000001,5.0514285714285725,7
93,Okay Bear #9235,Green,Autumn Sweater,Defeated,Clear Glasses,Black,Baker Boy Hat,Drool,12.6,1.7500000000000002,5.26,4.07,4.95,2.1399999999999997,0.97,94,4.850421203420101e-11,0.97,4.534285714285715,7
94,Okay Bear #5956,Purple,Travel Coat,Sad,Round Glasses,Sun,Pencil,Haa,11.87,1.01,5.07,3.74,2.59,3.7900000000000005,2.1999999999999997,95,4.9092292046769975e-11,1.01,4.324285714285714,7
95,Okay Bear #7612,Green,Insulated Jacket,Spirited,Aviator Sunglasses,Blueprint,Earrings,Ohh,12.6,1.55,6.2,4.09,1.58,2.6599999999999997,2.4299999999999997,96,5.057806823238959e-11,1.55,4.444285714285714,7
96,Okay Bear #5985,Grey,Loose Overalls,Okay,Pixel Glasses,Coral,Surf Bucket Hat,Ohh,12.61,2.68,20.23,3.2,0.72,1.3299999999999998,2.4299999999999997,97,5.0908013744200696e-11,0.72,6.171428571428572,7
97,Okay Bear #8820,Green,Lumber Jacket,Sad,Barrel Sunglasses,Sand,Rubik's Cube,Wry,12.6,1.24,5.07,2.11,8.18,0.41000000000000003,9.22,98,5.1683358384167346e-11,0.41000000000000003,5.547142857142857,7
98,Okay Bear #5264,White,Black Suit,Wide Eyed,Punk Sunglasses,Panda,,Ugh,12.65,0.37,2.6,2.69,3.9,26.979999999999997,1.51,99,5.20117393183674e-11,0.37,7.242857142857142,6
99,Okay Bear #5280,Yellow,Denim Jacket,White Glow,Wayfarer Sunglasses,Panda,Earrings,Hmm,12.22,0.91,3.4099999999999997,4.38,3.9,2.6599999999999997,3.02,100,5.2034846090795563e-11,0.91,4.357142857142857,7
100,Okay Bear #7509,Blue,Torn Sleeveless Tee,Okay,Circle Sunglasses,Red Panda,Classic Cap,Cassette,12.520000000000001,3.15,20.23,2.82,2.76,3.37,0.25,101,5.231652211616041e-11,0.25,6.442857142857143,7
101,Okay Bear #7312,Cream,Leather Jacket,Wide Eyed,Punk Sunglasses,Polar,Beret,Beaming Smile,13.26,1.3,2.6,2.69,6.41,2.92,2.33,102,5.257863490247472e-11,1.3,4.501428571428571,7
102,Okay Bear #4963,White,Puffer Jacket,Tired,Punk Sunglasses,Black,Visor,Grimace,12.65,2.27,4.54,2.69,4.95,3.09,0.9900000000000001,103,5.31035296602144e-11,0.9900000000000001,4.454285714285715,7
103,Okay Bear #2982,Cream,Vintage Windbreaker,Disappointed,Flying Goggles,Blueprint,Backwards Flat Cap,Raspberry,13.26,1.9300000000000002,9.4,1.83,1.58,3.0300000000000002,2.53,104,5.332121207360719e-11,1.58,4.794285714285714,7
104,Okay Bear #6891,Green,Cord Tracksuit,Defeated,Round Glasses,Polar,Bandana,Gaiter,12.6,1.39,5.26,3.74,6.41,4.24,0.5700000000000001,105,5.337543574258158e-11,0.5700000000000001,4.887142857142857,7
105,Okay Bear #2903,Cream,Polo with Headphones,Happy,Circle Sunglasses,Ginger,Mumford Hat,Ugh,13.26,1.1400000000000001,7.88,2.82,6.0600000000000005,1.7500000000000002,1.51,106,5.379121096391952e-11,1.1400000000000001,4.917142857142857,7
106,Okay Bear #6348,Blue,Tweed Suit,Spirited,Barrel Sunglasses,Grizzly,Worn Out Cap,Worried,12.520000000000001,0.88,6.2,2.11,14.399999999999999,2.79,0.95,107,5.5011241526630397e-11,0.88,5.692857142857142,7
107,Okay Bear #8862,Purple,Torn Tee,Tired,Pixel Glasses,Robot,Pom Pom Beanie,Okay,11.87,1.04,4.54,3.2,0.52,2.56,23.05,108,5.503058481250305e-11,0.52,6.682857142857142,7
108,Okay Bear #9687,Warm Grey,Aviator Jacket,Interested,Round Glasses,Tan,Sweatband,Yoyo,12.27,0.75,6.710000000000001,3.74,14.13,3.52,0.48,109,5.513482636409088e-11,0.48,5.942857142857143,7
109,Okay Bear #7456,Blue,Insulated Jacket,Okay,Barrel Sunglasses,Panda,Okay Beanie,Gaiter,12.520000000000001,1.55,20.23,2.11,3.9,3.01,0.5700000000000001,110,5.542686605388113e-11,0.5700000000000001,6.2700000000000005,7
110,Okay Bear #1230,Cream,Torn Sleeveless Tee,Spirited,Mechanical Goggles,Andean,Black Bucket Hat,Oou,13.26,3.15,6.2,0.51,3.7699999999999996,4.12,2.71,111,5.559347232332712e-11,0.51,4.817142857142857,7
111,Okay Bear #2668,White,Hawaiian Shirt,Annoyed,Mechanical Goggles,Red Panda,Head Cam,Wry,12.65,1.78,13.089999999999998,0.51,2.76,1.46,9.22,112,5.584871812596754e-11,0.51,5.924285714285714,7
112,Okay Bear #2819,White,Vintage Windbreaker,Annoyed,Clear Glasses,Albino,Mumford Hat,Honey,12.65,1.9300000000000002,13.089999999999998,4.07,4.5600000000000005,1.7500000000000002,0.54,113,5.605037744187421e-11,0.54,5.5128571428571425,7
113,Okay Bear #157,Purple,Formal Vest,Annoyed,Circle Sunglasses,Andean,Baker Boy Hat,Bubble Gum,11.87,1.5699999999999998,13.089999999999998,2.82,3.7699999999999996,2.1399999999999997,1.01,114,5.6055163490633893e-11,1.01,5.181428571428571,7
114,Okay Bear #1099,White,Summer Shirt,Spirited,Holographic,Sun,Flat Hat,Ohh,12.65,2.29,6.2,1.71,2.59,2.9000000000000004,2.4299999999999997,115,5.605544999834008e-11,1.71,4.395714285714285,7
