name,Background,Clothes,Eyes,Eyewear,Fur,Hat,Mouth,Background_rarity,Fur_rarity,Mouth_rarity,Eyes_rarity,Clothes_rarity,Eyewear_rarity,Hat_rarity
Okay Bear #1018,Yellow,Torn Sleeveless Tee,Wide Eyed,,Wood,Rabbit Fur Hat,Proud,0.1222,0.0201,0.0528,0.026,0.0315,0.6672,0.0085
Okay Bear #1019,Green,Scarf,Tired,,Coral,Bandana,Gah,0.126,0.0072,0.0426,0.0454,0.013,0.6672,0.0424
Okay Bear #102,Cream,Tech Jacket,Defeated,,Ginger,Skate Cap,Ohh,0.1326,0.0606,0.0243,0.0526,0.0104,0.6672,0.0551
Okay Bear #1020,White,Utility Vest,Happy,Flying Goggles,Grizzly,Backwards Flat Cap,Yum,0.1265,0.144,0.0098,0.0788,0.0197,0.0183,0.0303
Okay Bear #1021,White,,Annoyed,,Red Panda,Flat Hat,Okay,0.1265,0.0276,0.2305,0.1309,0.1965,0.6672,0.029
Okay Bear #1022,Green,Black Tee,Annoyed,Barrel Sunglasses,Polar,Black Bucket Hat,Sneer,0.126,0.0641,0.0211,0.1309,0.0383,0.0211,0.0412
Okay Bear #1023,Green,Insulated Jacket,Annoyed,,Panda,Pencil,Gaiter,0.126,0.039,0.0057,0.1309,0.0155,0.6672,0.0379
Okay Bear #1024,Warm Grey,,White Glow,,Black,,Huh,0.1227,0.0495,0.0344,0.0341,0.1965,0.6672,0.2698
Okay Bear #1025,Warm Grey,Loose Overalls,Happy,,Black,Flat Cap,Huh,0.1227,0.0495,0.0344,0.0788,0.0268,0.6672,0.0122
Okay Bear #1026,White,Olive Windbreaker,Annoyed,,Dark Brown,Pom Pom Beanie,Haa,0.1265,0.1268,0.022,0.1309,0.0256,0.6672,0.0256
Okay Bear #1027,Blue,Scarf,Spirited,,Panda,Surf Bucket Hat,Okay,0.1252,0.039,0.2305,0.062,0.013,0.6672,0.0133
Okay Bear #1028,Grey,Okay Tee,Okay,,Tan,Skate Cap,Wry,0.1261,0.1413,0.0922,0.2023,0.0273,0.6672,0.0551
Okay Bear #1029,Cream,Olive Windbreaker,Annoyed,Aviator Sunglasses,Green,Skate Cap,Ohh,0.1326,0.0456,0.0243,0.1309,0.0256,0.0409,0.0551
Okay Bear #103,Blue,Puffer Jacket,Sarcastic,,Grizzly,,Clean Smile,0.1252,0.144,0.0797,0.0965,0.0227,0.6672,0.2698
Okay Bear #1030,Yellow,Hawaiian Shirt,Closed,,Tan,Backwards Flat Cap,Drool,0.1222,0.1413,0.0097,0.031,0.0178,0.6672,0.0303
Okay Bear #1031,Grey,Summer Shirt,Disappointed,,Sand,Earrings,Hmm,0.1261,0.0818,0.0302,0.094,0.0229,0.6672,0.0266
Okay Bear #1032,Grey,Scarf,Golden Glow,Holographic,Grizzly,Flat Cap,Clean Smile,0.1261,0.144,0.0797,0.0199,0.013,0.0171,0.0122
Okay Bear #1033,Green,Okay Hoodie,Okay,Clear Glasses,Black,Worn Out Cap,Sneer,0.126,0.0495,0.0211,0.2023,0.015,0.0407,0.0279
Okay Bear #1034,Yellow,,Happy,Punk Sunglasses,Coral,Army Hat,Grimace,0.1222,0.0072,0.0099,0.0788,0.1965,0.0269,0.0239
Okay Bear #1035,Yellow,Sling Pack,Sad,,Pink,Flat Hat,Gah,0.1222,0.0426,0.0426,0.0507,0.022,0.6672,0.029
Okay Bear #1036,Blue,Cord Tracksuit,Annoyed,,Tan,Sticky Note,Okay,0.1252,0.1413,0.2305,0.1309,0.0139,0.6672,0.023
Okay Bear #1037,Cream,Black Tee,Disappointed,,Black,,Gah,0.1326,0.0495,0.0426,0.094,0.0383,0.6672,0.2698
Okay Bear #1038,Warm Grey,,Annoyed,Clear Glasses,Grizzly,Worn Out Cap,Haa,0.1227,0.144,0.022,0.1309,0.1965,0.0407,0.0279
Okay Bear #1039,White,Suede Jacket,Interested,,Pink,Baker Boy Hat,Asparagus,0.1265,0.0426,0.0076,0.0671,0.0202,0.6672,0.0214
Okay Bear #104,Warm Grey,Double Jacket,Closed,,Green,,Raspberry,0.1227,0.0456,0.0253,0.031,0.0251,0.6672,0.2698
Okay Bear #1040,Cream,Woven Sweater,Sarcastic,,Grizzly,Runner Cap,Okay,0.1326,0.144,0.2305,0.0965,0.0208,0.6672,0.0339
Okay Bear #1041,Grey,Denim Jacket,Happy,,Tan,Black Bucket Hat,Proud,0.1261,0.1413,0.0528,0.0788,0.0091,0.6672,0.0412
Okay Bear #1042,White,Sleeveless Tee,Sarcastic,Holographic,Sun,,Okay,0.1265,0.0259,0.2305,0.0965,0.0286,0.0171,0.2698
Okay Bear #1043,Yellow,Okay Tee,Disappointed,,Albino,Runner Cap,Proud,0.1222,0.0456,0.0528,0.094,0.0273,0.6672,0.0339
Okay Bear #1044,Purple,,Okay,,Grizzly,,Clean Smile,0.1187,0.144,0.0797,0.2023,0.1965,0.6672,0.2698
Okay Bear #1045,Cream,Striped Tee,Defeated,,Pink,,Clean Smile,0.1326,0.0426,0.0797,0.0526,0.0357,0.6672,0.2698
Okay Bear #1046,White,,Tired,,Green,,Clean Smile,0.1265,0.0456,0.0797,0.0454,0.1965,0.6672,0.2698
Okay Bear #1047,Grey,Loose Overalls,Okay,,Green,Mumford Hat,Gah,0.1261,0.0456,0.0426,0.2023,0.0268,0.6672,0.0175
Okay Bear #1048,White,Summer Shirt,Sarcastic,,Grizzly,Visor,Pouting,0.1265,0.144,0.1231,0.0965,0.0229,0.6672,0.0309
Okay Bear #1049,Grey,Torn Tee,Okay,,Panda,Bandana,Ohh,0.1261,0.039,0.0243,0.2023,0.0104,0.6672,0.0424
Okay Bear #105,Blue,,Disappointed,Clear Glasses,Dark Brown,,Gah,0.1252,0.1268,0.0426,0.094,0.1965,0.0407,0.2698
Okay Bear #1050,Green,Torn Sleeveless Tee,Tired,,Green,Worn Out Cap,Hmm,0.126,0.0456,0.0302,0.0454,0.0315,0.6672,0.0279
Okay Bear #1051,Cream,Winter Scarf,White Glow,Aviator Sunglasses,Ginger,Book,Clean Smile,0.1326,0.0606,0.0797,0.0341,0.006,0.0409,0.0086
Okay Bear #1052,Purple,,Tired,,Tan,Classic Cap,Beaming Smile,0.1187,0.1413,0.0233,0.0454,0.1965,0.6672,0.0337
Okay Bear #1053,Warm Grey,,Okay,,Ginger,Flat Hat,Grimace,0.1227,0.0606,0.0099,0.2023,0.1965,0.6672,0.029
Okay Bear #1054,Grey,Winter Scarf,Closed,,Grizzly,Runner Cap,Wry,0.1261,0.144,0.0922,0.031,0.006,0.6672,0.0339
Okay Bear #1055,Green,Legacy Windbreaker,Defeated,,Polar,Worn Out Cap,Okay,0.126,0.0641,0.2305,0.0526,0.0115,0.6672,0.0279
Okay Bear #1056,Purple,Travel Coat,Happy,Barrel Sunglasses,Ginger,Skate Cap,Huh,0.1187,0.0606,0.0344,0.0788,0.0101,0.0211,0.0551
Okay Bear #1057,Warm Grey,Black Tee,Sad,,Dark Brown,Rubik's Cube,Huh,0.1227,0.1268,0.0344,0.0507,0.0383,0.6672,0.0041
Okay Bear #1058,Cream,,Disappointed,,Sand,,Wry,0.1326,0.0818,0.0922,0.094,0.1965,0.6672,0.2698
Okay Bear #1059,Cream,Summer Shirt,Annoyed,,Grizzly,Black Bucket Hat,Okay,0.1326,0.144,0.2305,0.1309,0.0229,0.6672,0.0412
Okay Bear #106,Grey,Torn Tee,Happy,,Sand,,Proud,0.1261,0.0818,0.0528,0.0788,0.0104,0.6672,0.2698
Okay Bear #1060,Yellow,Tweed Suit,Sarcastic,,Black,,Pouting,0.1222,0.0495,0.1231,0.0965,0.0088,0.6672,0.2698
Okay Bear #1061,Warm Grey,Sling Pack,Annoyed,,Pink,Classic Cap,Sneer,0.1227,0.0426,0.0211,0.1309,0.022,0.6672,0.0337
Okay Bear #1062,Grey,Leather Jacket,Okay,Punk Sunglasses,Tan,,Pouting,0.1261,0.1413,0.1231,0.2023,0.013,0.0269,0.2698
Okay Bear #1063,Cream,Double Jacket,Okay,,Polar,Runner Cap,Sneer,0.1326,0.0641,0.0211,0.2023,0.0251,0.6672,0.0339
Okay Bear #1064,Grey,Tweed Suit,Okay,,Dark Brown,,Bubble Gum,0.1261,0.1268,0.0101,0.2023,0.0088,0.6672,0.2698
Okay Bear #1065,Warm Grey,Insulated Jacket,Closed,,Red Panda,Worn Out Cap,Okay,0.1227,0.0276,0.2305,0.031,0.0155,0.6672,0.0279
Okay Bear #1066,White,Striped Tee,Sad,,Grizzly,Black Bucket Hat,Pouting,0.1265,0.144,0.1231,0.0507,0.0357,0.6672,0.0412
Okay Bear #1067,Purple,Tech Jacket,Okay,Wayfarer Sunglasses,Wood,Army Hat,Ahh,0.1187,0.0201,0.0113,0.2023,0.0104,0.0438,0.0239
Okay Bear #1068,Yellow,Olive Windbreaker,Disappointed,,Albino,Beret,Proud,0.1222,0.0456,0.0528,0.094,0.0256,0.6672,0.0292
Okay Bear #1069,Warm Grey,Vintage Shirt,Wide Eyed,Circle Sunglasses,Coral,Flat Hat,Okay,0.1227,0.0072,0.2305,0.026,0.0275,0.0282,0.029
Okay Bear #107,Blue,,Tired,,Panda,Pom Pom Beanie,Beaming Smile,0.1252,0.039,0.0233,0.0454,0.1965,0.6672,0.0256
Okay Bear #1070,Green,Autumn Sweater,Okay,Wayfarer Sunglasses,Sand,Sticky Note,Sneer,0.126,0.0818,0.0211,0.2023,0.0175,0.0438,0.023
Okay Bear #1071,Blue,Torn Sleeveless Tee,Okay,Pixel Glasses,Dark Brown,Army Hat,Raspberry,0.1252,0.1268,0.0253,0.2023,0.0315,0.032,0.0239
Okay Bear #1072,Blue,,Interested,VR Headset,Tan,,Cassette,0.1252,0.1413,0.0025,0.0671,0.1965,0.0092,0.2698
Okay Bear #1073,Blue,Okay Hoodie,Interested,,Pink,Army Hat,Pouting,0.1252,0.0426,0.1231,0.0671,0.015,0.6672,0.0239
Okay Bear #1074,Cream,Loose Overalls,Annoyed,VR Headset,Grizzly,,Okay,0.1326,0.144,0.2305,0.1309,0.0268,0.0092,0.2698
Okay Bear #1075,Green,,Okay,,Dark Brown,,Haa,0.126,0.1268,0.022,0.2023,0.1965,0.6672,0.2698
Okay Bear #1076,Yellow,Tech Jacket,White Glow,,Tan,Skate Cap,Proud,0.1222,0.1413,0.0528,0.0341,0.0104,0.6672,0.0551
Okay Bear #1077,White,Wool Overcoat,Okay,,Dark Brown,Flat Hat,Wheat,0.1265,0.1268,0.0217,0.2023,0.012,0.6672,0.029
Okay Bear #1078,White,Tweed Suit,Interested,Mechanical Goggles,Grizzly,Flat Hat,Okay,0.1265,0.144,0.2305,0.0671,0.0088,0.0051,0.029
Okay Bear #1079,Grey,Okay Tee,Closed,,Polar,Baker Boy Hat,Pouting,0.1261,0.0641,0.1231,0.031,0.0273,0.6672,0.0214
Okay Bear #108,Grey,,Okay,,Grizzly,,Pouting,0.1261,0.144,0.1231,0.2023,0.1965,0.6672,0.2698
Okay Bear #1080,Cream,Black Tee,Sarcastic,,Sand,,Gah,0.1326,0.0818,0.0426,0.0965,0.0383,0.6672,0.2698
Okay Bear #1081,Blue,Okay Hoodie,Okay,,Sun,Baker Boy Hat,Pouting,0.1252,0.0259,0.1231,0.2023,0.015,0.6672,0.0214
Okay Bear #1082,Green,Vintage Shirt,Happy,Round Glasses,Sand,Ear Tag,Toothpick,0.126,0.0818,0.0116,0.0788,0.0275,0.0374,0.0191
Okay Bear #1083,Cream,Golf Polo,Okay,Aviator Sunglasses,Tan,Skate Cap,Pouting,0.1326,0.1413,0.1231,0.2023,0.02,0.0409,0.0551
Okay Bear #1084,Green,Torn Sleeveless Tee,Disappointed,,Pink,Skate Cap,Forced Smile,0.126,0.0426,0.0116,0.094,0.0315,0.6672,0.0551
Okay Bear #1085,Purple,Cord Tracksuit,Spirited,,Tan,Backwards Flat Cap,Wry,0.1187,0.1413,0.0922,0.062,0.0139,0.6672,0.0303
Okay Bear #1086,Grey,Lumber Jacket,Annoyed,Pixel Glasses,Ginger,Surf Bucket Hat,Okay,0.1261,0.0606,0.2305,0.1309,0.0124,0.032,0.0133
Okay Bear #1087,Warm Grey,Autumn Sweater,Disappointed,Wayfarer Sunglasses,Ginger,Classic Cap,Ugh,0.1227,0.0606,0.0151,0.094,0.0175,0.0438,0.0337
Okay Bear #1088,Green,,Happy,,Polar,,Okay,0.126,0.0641,0.2305,0.0788,0.1965,0.6672,0.2698
Okay Bear #1089,White,Vintage Shirt,Okay,Punk Sunglasses,Pink,,Pouting,0.1265,0.0426,0.1231,0.2023,0.0275,0.0269,0.2698
Okay Bear #109,Warm Grey,Suede Jacket,Okay,,Polar,Ear Tag,Oou,0.1227,0.0641,0.0271,0.2023,0.0202,0.6672,0.0191
Okay Bear #1090,Yellow,Tweed Suit,Okay,Barrel Sunglasses,Black,Skate Cap,Earphones,0.1222,0.0495,0.0049,0.2023,0.0088,0.0211,0.0551
Okay Bear #1091,Cream,Double Jacket,Tired,,Dark Brown,,Okay,0.1326,0.1268,0.2305,0.0454,0.0251,0.6672,0.2698
Okay Bear #1092,Green,Summer Shirt,Sarcastic,,Dark Brown,,Oou,0.126,0.1268,0.0271,0.0965,0.0229,0.6672,0.2698
Okay Bear #1093,Blue,Wool Overcoat,Sarcastic,Wayfarer Sunglasses,Red Panda,Rubik's Cube,Wry,0.1252,0.0276,0.0922,0.0965,0.012,0.0438,0.0041
Okay Bear #1094,Green,,Sad,Punk Sunglasses,Black,Bandana,Sneer,0.126,0.0495,0.0211,0.0507,0.1965,0.0269,0.0424
Okay Bear #1095,Green,Torn Sleeveless Tee,Sarcastic,Pixel Glasses,Polar,Bandana,Wry,0.126,0.0641,0.0922,0.0965,0.0315,0.032,0.0424
Okay Bear #1096,Purple,Hooded Cardigan,Wide Eyed,Round Glasses,Sand,Worn Out Beanie,Ugh,0.1187,0.0818,0.0151,0.026,0.0161,0.0374,0.026
Okay Bear #1097,Purple,Leather Jacket,Interested,,Sand,,Forced Smile,0.1187,0.0818,0.0116,0.0671,0.013,0.6672,0.2698
Okay Bear #1098,Blue,Black Tee,Okay,,Tan,Beret,Clean Smile,0.1252,0.1413,0.0797,0.2023,0.0383,0.6672,0.0292
Okay Bear #1099,White,Summer Shirt,Spirited,Holographic,Sun,Flat Hat,Ohh,0.1265,0.0259,0.0243,0.062,0.0229,0.0171,0.029
Okay Bear #11,Cream,Lumber Jacket,Happy,,Tan,Beret,Proud,0.1326,0.1413,0.0528,0.0788,0.0124,0.6672,0.0292
Okay Bear #110,Warm Grey,Utility Vest,Okay,,Panda,Mumford Hat,Okay,0.1227,0.039,0.2305,0.2023,0.0197,0.6672,0.0175
Okay Bear #1100,White,,White Glow,Pixel Glasses,Albino,Visor,Gah,0.1265,0.0456,0.0426,0.0341,0.1965,0.032,0.0309
Okay Bear #1101,Green,Golf Polo,Spirited,,Grizzly,Chullo,Pouting,0.126,0.144,0.1231,0.062,0.02,0.6672,0.0078
Okay Bear #1102,Purple,Pullover Windbreaker,Disappointed,,Tan,Backwards Flat Cap,Pencil,0.1187,0.1413,0.0081,0.094,0.0204,0.6672,0.0303
Okay Bear #1103,Warm Grey,Striped Tee,Interested,,Andean,Backwards Flat Cap,Pouting,0.1227,0.0377,0.1231,0.0671,0.0357,0.6672,0.0303
Okay Bear #1104,Grey,Coat with Headphones,Sad,,Ginger,Pencil,Sneer,0.1261,0.0606,0.0211,0.0507,0.009,0.6672,0.0379
Okay Bear #1105,Yellow,Striped Tee,Sarcastic,,Dark Brown,,Okay,0.1222,0.1268,0.2305,0.0965,0.0357,0.6672,0.2698
Okay Bear #1106,Blue,Summer Shirt,Disappointed,,Tan,,Okay,0.1252,0.1413,0.2305,0.094,0.0229,0.6672,0.2698
Okay Bear #1107,Yellow,Torn Sleeveless Tee,Sarcastic,,Tan,,Grimace,0.1222,0.1413,0.0099,0.0965,0.0315,0.6672,0.2698
Okay Bear #1108,Grey,Winter Scarf,Happy,Flying Goggles,Black,Black Bucket Hat,Wry,0.1261,0.0495,0.0922,0.0788,0.006,0.0183,0.0412
Okay Bear #1109,Warm Grey,Olive Windbreaker,Happy,Flying Goggles,Andean,Skate Cap,Okay,0.1227,0.0377,0.2305,0.0788,0.0256,0.0183,0.0551
Okay Bear #111,Grey,Vintage Shirt,Defeated,Wayfarer Sunglasses,Robot,Worn Out Cap,Okay,0.1261,0.0052,0.2305,0.0526,0.0275,0.0438,0.0279
Okay Bear #1110,Purple,,Okay,,Dark Brown,,Beaming Smile,0.1187,0.1268,0.0233,0.2023,0.1965,0.6672,0.2698
Okay Bear #1111,Green,Okay Tee,Annoyed,Aviator Sunglasses,Polar,,Haa,0.126,0.0641,0.022,0.1309,0.0273,0.0409,0.2698
Okay Bear #1112,Warm Grey,,Spirited,,Grizzly,Pencil,Drool,0.1227,0.144,0.0097,0.062,0.1965,0.6672,0.0379
Okay Bear #1113,Yellow,Hooded Cardigan,Spirited,,Ginger,Okay Beanie,Okay,0.1222,0.0606,0.2305,0.062,0.0161,0.6672,0.0301
Okay Bear #1114,Yellow,Hoodie with Headphones,Sarcastic,Clear Glasses,Andean,,Okay,0.1222,0.0377,0.2305,0.0965,0.0227,0.0407,0.2698
Okay Bear #1115,Purple,,Okay,,Dark Brown,,Huh,0.1187,0.1268,0.0344,0.2023,0.1965,0.6672,0.2698
Okay Bear #1116,Green,Olive Windbreaker,Sarcastic,Clear Glasses,Grizzly,Worn Out Cap,Okay,0.126,0.144,0.2305,0.0965,0.0256,0.0407,0.0279
Okay Bear #1117,Grey,,Interested,Round Glasses,Polar,Beret,Pouting,0.1261,0.0641,0.1231,0.0671,0.1965,0.0374,0.0292
Okay Bear #1118,Warm Grey,Summer Shirt,Wide Eyed,,Tan,Worn Out Cap,Toothpick,0.1227,0.1413,0.0116,0.026,0.0229,0.6672,0.0279
Okay Bear #1119,Warm Grey,Olive Windbreaker,Disappointed,,Dark Brown,,Okay,0.1227,0.1268,0.2305,0.094,0.0256,0.6672,0.2698
Okay Bear #112,Grey,,Defeated,Round Glasses,Ginger,Pencil,Pencil,0.1261,0.0606,0.0081,0.0526,0.1965,0.0374,0.0379
Okay Bear #1120,White,Cord Tracksuit,Golden Glow,,Tan,Army Hat,Gaiter,0.1265,0.1413,0.0057,0.0199,0.0139,0.6672,0.0239
Okay Bear #1121,Blue,Coat with Headphones,Okay,,Black,Backwards Flat Cap,Raspberry,0.1252,0.0495,0.0253,0.2023,0.009,0.6672,0.0303
Okay Bear #1122,Grey,,Sarcastic,Wayfarer Sunglasses,Sand,Visor,Okay,0.1261,0.0818,0.2305,0.0965,0.1965,0.0438,0.0309
Okay Bear #1123,White,,Okay,,Pink,Ear Tag,Pouting,0.1265,0.0426,0.1231,0.2023,0.1965,0.6672,0.0191
Okay Bear #1124,Purple,Insulated Jacket,White Glow,Clear Glasses,Green,Okay Beanie,Drool,0.1187,0.0456,0.0097,0.0341,0.0155,0.0407,0.0301
Okay Bear #1125,Grey,Travel Coat,Defeated,,Sand,Earrings,Pouting,0.1261,0.0818,0.1231,0.0526,0.0101,0.6672,0.0266
Okay Bear #1126,Cream,Hawaiian Shirt,Wide Eyed,,Polar,Baker Boy Hat,Yum,0.1326,0.0641,0.0098,0.026,0.0178,0.6672,0.0214
Okay Bear #1127,Grey,Lumber Jacket,Tired,,Polar,Okay Beanie,Asparagus,0.1261,0.0641,0.0076,0.0454,0.0124,0.6672,0.0301
Okay Bear #1128,White,Wool Overcoat,Okay,,Tan,,Okay,0.1265,0.1413,0.2305,0.2023,0.012,0.6672,0.2698
Okay Bear #1129,Grey,,Golden Glow,Wayfarer Sunglasses,Panda,Bandana,Ahh,0.1261,0.039,0.0113,0.0199,0.1965,0.0438,0.0424
Okay Bear #113,Grey,Vintage Shirt,Sad,Pixel Glasses,Tan,,Pouting,0.1261,0.1413,0.1231,0.0507,0.0275,0.032,0.2698
Okay Bear #1130,Green,Loose Overalls,Spirited,,Albino,,Drool,0.126,0.0456,0.0097,0.062,0.0268,0.6672,0.2698
Okay Bear #1131,Cream,Hoodie with Headphones,Interested,,Sand,Classic Cap,Ohh,0.1326,0.0818,0.0243,0.0671,0.0227,0.6672,0.0337
Okay Bear #1132,Purple,,White Glow,,Dark Brown,,Okay,0.1187,0.1268,0.2305,0.0341,0.1965,0.6672,0.2698
Okay Bear #1133,White,Suede Jacket,Sarcastic,Holographic,Red Panda,Backwards Skate Cap,Okay,0.1265,0.0276,0.2305,0.0965,0.0202,0.0171,0.0212
Okay Bear #1134,Cream,,Disappointed,,Andean,Surf Bucket Hat,Earphones,0.1326,0.0377,0.0049,0.094,0.1965,0.6672,0.0133
Okay Bear #1135,Grey,Summer Shirt,Wide Eyed,,Albino,Black Bucket Hat,Clean Smile,0.1261,0.0456,0.0797,0.026,0.0229,0.6672,0.0412
Okay Bear #1136,Grey,Double Jacket,Spirited,,Polar,,Okay,0.1261,0.0641,0.2305,0.062,0.0251,0.6672,0.2698
Okay Bear #1137,Yellow,Hoodie with Headphones,Sad,,Black,Runner Cap,Okay,0.1222,0.0495,0.2305,0.0507,0.0227,0.6672,0.0339
Okay Bear #1138,Green,,Defeated,,Dark Brown,Flat Hat,Beaming Smile,0.126,0.1268,0.0233,0.0526,0.1965,0.6672,0.029
Okay Bear #1139,Cream,Striped Tee,Spirited,Aviator Sunglasses,Tan,Earrings,Okay,0.1326,0.1413,0.2305,0.062,0.0357,0.0409,0.0266
Okay Bear #114,Cream,Hoodie with Headphones,Spirited,,Sand,Beret,Pouting,0.1326,0.0818,0.1231,0.062,0.0227,0.6672,0.0292
Okay Bear #1140,Grey,Double Jacket,Interested,,Grizzly,Skate Cap,Haa,0.1261,0.144,0.022,0.0671,0.0251,0.6672,0.0551
Okay Bear #1141,Grey,Pullover Windbreaker,Okay,,Grizzly,Sticky Note,Huh,0.1261,0.144,0.0344,0.2023,0.0204,0.6672,0.023
Okay Bear #1142,Cream,Autumn Sweater,Annoyed,,Dark Brown,Bandana,Wry,0.1326,0.1268,0.0922,0.1309,0.0175,0.6672,0.0424
Okay Bear #1143,Warm Grey,Okay Tee,Sad,,Wood,Backwards Flat Cap,Okay,0.1227,0.0201,0.2305,0.0507,0.0273,0.6672,0.0303
Okay Bear #1144,Blue,Olive Windbreaker,Disappointed,Wayfarer Sunglasses,Black,Classic Cap,Okay,0.1252,0.0495,0.2305,0.094,0.0256,0.0438,0.0337
Okay Bear #1145,Warm Grey,Olive Windbreaker,Annoyed,,Panda,,Pouting,0.1227,0.039,0.1231,0.1309,0.0256,0.6672,0.2698
Okay Bear #1146,Green,Denim Jacket,Annoyed,,Wood,Sweatband,Okay,0.126,0.0201,0.2305,0.1309,0.0091,0.6672,0.0352
Okay Bear #1147,Yellow,Sleeveless Tee,Sarcastic,,Dark Brown,Head Cam,Okay,0.1222,0.1268,0.2305,0.0965,0.0286,0.6672,0.0146
Okay Bear #1148,Blue,Silk Robe,Tired,,Dark Brown,Earrings,Wry,0.1252,0.1268,0.0922,0.0454,0.006,0.6672,0.0266
Okay Bear #1149,White,Striped Tee,Happy,,Black,Bandana,Clean Smile,0.1265,0.0495,0.0797,0.0788,0.0357,0.6672,0.0424
Okay Bear #115,Yellow,Urban Hoodie,Okay,Aviator Sunglasses,Tan,Rubik's Cube,Pouting,0.1222,0.1413,0.1231,0.2023,0.012,0.0409,0.0041
Okay Bear #1150,White,Okay Tee,Interested,,Polar,Classic Cap,Okay,0.1265,0.0641,0.2305,0.0671,0.0273,0.6672,0.0337
Okay Bear #1151,Yellow,Tech Jacket,Okay,,Panda,Visor,Sneer,0.1222,0.039,0.0211,0.2023,0.0104,0.6672,0.0309
Okay Bear #1152,Green,Puffer Jacket,Happy,,Tan,Runner Cap,Clean Smile,0.126,0.1413,0.0797,0.0788,0.0227,0.6672,0.0339
Okay Bear #1153,Purple,Loose Overalls,Okay,,Black,Black Bucket Hat,Pouting,0.1187,0.0495,0.1231,0.2023,0.0268,0.6672,0.0412
Okay Bear #1154,Yellow,Wool Overcoat,Annoyed,,Albino,Visor,Ohh,0.1222,0.0456,0.0243,0.1309,0.012,0.6672,0.0309
